delivery_period,n,mae,rmse,wape,spike_precision,spike_recall,spike_events,spike_predictions,zone,model,pricefm_forecasts,weather,evaluation_end,pinball_p10,pinball_p50,pinball_p90,coverage_80,interval_width
overall,720,37.033933286751676,52.171583726525085,0.4378822251781765,,0.0,112,0,DE_LU,SARIMAX,False,False,2025-09-30,,,,,
weekday_offpeak,264,29.9622634538648,44.175721820697014,0.32145513032211936,,0.0,47,0,DE_LU,SARIMAX,False,False,2025-09-30,,,,,
weekday_peak,264,51.028778878853764,68.29013475325266,0.5763711725593174,,0.0,53,0,DE_LU,SARIMAX,False,False,2025-09-30,,,,,
weekend,192,27.514566617830752,33.33695120104595,0.40907608421565167,,0.0,12,0,DE_LU,SARIMAX,False,False,2025-09-30,,,,,
overall,720,31.069764598175315,43.53884580444273,0.3673630222495995,0.7272727272727273,0.2857142857142857,112,44,DE_LU,SARIMAX,False,True,2025-09-30,,,,,
weekday_offpeak,264,25.03849364621842,35.57508289160328,0.26862964643869386,0.75,0.2553191489361702,47,16,DE_LU,SARIMAX,False,True,2025-09-30,,,,,
weekday_peak,264,39.29204152659047,54.821961445066755,0.4438044676847075,0.8888888888888888,0.3018867924528302,53,18,DE_LU,SARIMAX,False,True,2025-09-30,,,,,
weekend,192,28.057131380545215,35.15600774720817,0.41714273020893405,0.4,0.3333333333333333,12,10,DE_LU,SARIMAX,False,True,2025-09-30,,,,,
overall,720,28.58856772616884,41.45388137701655,0.3380258195547944,0.6483516483516484,0.5267857142857143,112,91,DE_LU,LightGBM,False,False,2025-09-30,,,,,
weekday_offpeak,264,21.580582711242748,32.93369905104625,0.23153087344524345,0.6060606060606061,0.425531914893617,47,33,DE_LU,LightGBM,False,False,2025-09-30,,,,,
weekday_peak,264,42.84862941329988,56.540065312121506,0.48397620558656135,0.7045454545454546,0.5849056603773585,53,44,DE_LU,LightGBM,False,False,2025-09-30,,,,,
weekend,192,18.616962301887035,23.60414616934501,0.2767898962112302,0.5714285714285714,0.6666666666666666,12,14,DE_LU,LightGBM,False,False,2025-09-30,,,,,
overall,720,22.474707701797318,34.26768298352263,0.2657366945739106,0.7529411764705882,0.5714285714285714,112,85,DE_LU,LightGBM,False,True,2025-09-30,,,,,
weekday_offpeak,264,17.84580616198314,27.332473502693457,0.191461701628006,0.7777777777777778,0.44680851063829785,47,27,DE_LU,LightGBM,False,True,2025-09-30,,,,,
weekday_peak,264,30.701524730021145,45.24326825818152,0.346774392740449,0.825,0.6226415094339622,53,40,DE_LU,LightGBM,False,True,2025-09-30,,,,,
weekend,192,17.527573905234046,23.70134800160855,0.26059328495136125,0.5555555555555556,0.8333333333333334,12,18,DE_LU,LightGBM,False,True,2025-09-30,,,,,
overall,720,12.99497867467035,21.007659550698804,0.15365017088917235,0.8349514563106796,0.7678571428571429,112,103,DE_LU,LightGBM,True,False,2025-09-30,,,,,
weekday_offpeak,264,12.410284145758771,17.76140010411056,0.13314579899986947,0.775,0.6595744680851063,47,40,DE_LU,LightGBM,True,False,2025-09-30,,,,,
weekday_peak,264,15.593981399098828,27.34523225047663,0.17613436067527288,0.8823529411764706,0.8490566037735849,53,51,DE_LU,LightGBM,True,False,2025-09-30,,,,,
weekend,192,10.225304905834603,13.893042901678967,0.15202593407664924,0.8333333333333334,0.8333333333333334,12,12,DE_LU,LightGBM,True,False,2025-09-30,,,,,
overall,720,12.636165361029695,20.681593868203425,0.149407630109505,0.8431372549019608,0.7678571428571429,112,102,DE_LU,LightGBM,True,True,2025-09-30,,,,,
weekday_offpeak,264,12.293933469730261,17.66135816670673,0.13189751140693104,0.8157894736842105,0.6595744680851063,47,38,DE_LU,LightGBM,True,True,2025-09-30,,,,,
weekday_peak,264,15.09281977577577,26.91045442742818,0.17047372918804474,0.8979591836734694,0.8301886792452831,53,49,DE_LU,LightGBM,True,True,2025-09-30,,,,,
weekend,192,9.728834391290569,13.3921260460299,0.14464459978782973,0.7333333333333333,0.9166666666666666,12,15,DE_LU,LightGBM,True,True,2025-09-30,,,,,
overall,720,27.964915963772263,41.996846442553455,0.3306518790300325,0.6388888888888888,0.4107142857142857,112,72,DE_LU,Quantile LightGBM,False,False,2025-09-30,6.21968139689924,13.982457981886132,8.75612891053536,0.49583333333333335,50.02249971019194
weekday_offpeak,264,21.84137658142141,33.107623626734316,0.23432884388744907,0.5454545454545454,0.2553191489361702,47,22,DE_LU,Quantile LightGBM,False,False,2025-09-30,5.417591606571789,10.920688290710705,6.042889892516017,0.571969696969697,42.945313619677094
